0	0.01925
1	0.01935
2	0.01945
3	0.01954
4	0.01964
5	0.01974
6	0.01985
7	0.01995
8	0.02005
9	0.02016
10	0.02026
11	0.02037
12	0.02048
13	0.02059
14	0.02070
15	0.02081
16	0.02092
17	0.02103
18	0.02115
19	0.02127
20	0.02138
21	0.02150
22	0.02162
23	0.02174
24	0.02187
25	0.02199
26	0.02212
27	0.02225
28	0.02237
29	0.02250
30	0.02264
31	0.02277
32	0.02291
33	0.02304
34	0.02318
35	0.02332
36	0.02346
37	0.02360
38	0.02375
39	0.02390
40	0.02405
41	0.02420
42	0.02435
43	0.02450
44	0.02466
45	0.02482
46	0.02498
47	0.02514
48	0.02531
49	0.02547
50	0.02564
51	0.02581
52	0.02599
53	0.02616
54	0.02634
55	0.02652
56	0.02671
57	0.02689
58	0.02708
59	0.02727
60	0.02746
61	0.02766
62	0.02786
63	0.02806
64	0.02827
65	0.02848
66	0.02869
67	0.02890
68	0.02912
69	0.02934
70	0.02957
71	0.02979
72	0.03003
73	0.03026
74	0.03050
75	0.03074
76	0.03099
77	0.03124
78	0.03149
79	0.03175
80	0.03202
81	0.03228
82	0.03256
83	0.03283
84	0.03311
85	0.03409
86	0.03512
87	0.03622
88	0.03739
89	0.03863
90	0.03997
91	0.04139
92	0.04293
93	0.04458
94	0.04636
95	0.04829
96	0.05039
97	0.05268
98	0.05519
99	0.05795
100	0.06100
101	0.06439
102	0.06818
103	0.07244
104	0.07727
105	0.08279
106	0.08915
107	0.09658
108	0.10536
109	0.11590
110	0.12878
111	0.14488
112	0.16557
113	0.19317
114	0.23180
115	0.28975
116	0.38633
117	0.57950
118	1.15900
119	11.59000
